sample_name,collection_date,location,collector
Moss-241,2024-01-12,Seattle,WA,Dr. Ada Kim
Cedar-318,2024-01-18,Portland,OR,Dr. Leo Martin
Juniper-407,2024-02-03,Boston,MA,Dr. Priya Shah
Raven-192,2024-02-14,Denver,CO,Dr. Omar Ruiz
Willow-553,2024-03-01,Austin,TX,Dr. Clara Nguyen
Falcon-067,2024-03-08,Minneapolis,MN,Dr. Ethan Brooks
Hawthorn-812,2024-03-22,Miami,FL,Dr. Sofia Patel
Birch-441,2024-04-05,Chicago,IL,Dr. Marcus Lee
Lark-209,2024-04-19,San Diego,CA,Dr. Nina Torres
Aspen-735,2024-05-02,Atlanta,GA,Dr. James O'Neil
